iter	Logloss
0	0.6905132356
1	0.6878813902
2	0.685028084
3	0.6824844485
4	0.680446218
5	0.6779516022
6	0.6760994712
7	0.6740370753
8	0.6733369493
9	0.6712310953
10	0.6704667794
11	0.6688687016
12	0.6674269026
13	0.6658915422
14	0.6642858026
15	0.6632966388
16	0.6625579729
17	0.662139246
18	0.6611445333
19	0.659931219
20	0.6588905579
21	0.6577016666
22	0.6568319572
23	0.6561186009
24	0.6552321974
25	0.6544562974
26	0.6541132531
27	0.6532417206
28	0.6524398448
29	0.6514842849
30	0.6506647686
31	0.6501381758
32	0.6495852685
33	0.6486730637
34	0.6477947194
35	0.647349854
36	0.6470630752
37	0.646333588
38	0.645800953
39	0.6454237908
40	0.645174208
41	0.6445218531
42	0.6439772526
43	0.6434721855
44	0.6431169308
45	0.6424336571
46	0.6419578789
47	0.6413281159
48	0.6409147302
49	0.6406455711
50	0.6402054098
51	0.6399147178
52	0.6394689479
53	0.638798281
54	0.6385796586
55	0.6385761757
56	0.6382781799
57	0.6376413142
58	0.6371499311
59	0.6367859178
60	0.6363692641
61	0.6358899241
62	0.6355021697
63	0.6352168111
64	0.6349352896
65	0.634428764
66	0.6341104912
67	0.6336325045
68	0.6334355362
69	0.6330795088
70	0.6328639164
71	0.6327868893
72	0.6323596242
73	0.6320759416
74	0.6318029122
75	0.6314666502
76	0.6310038156
77	0.6309646516
78	0.6305188135
79	0.6304878858
80	0.6304166791
81	0.630011898
82	0.6297860146
83	0.6293959306
84	0.6290346663
85	0.6287576715
86	0.6283839614
87	0.6281981238
88	0.6277424242
89	0.6273585972
90	0.6271245848
91	0.6271233561
92	0.6269567765
93	0.6267966542
94	0.6264889884
95	0.6260764376
96	0.6257989812
97	0.6253527105
98	0.6251645074
99	0.624466368
100	0.6239565961
101	0.6238581317
102	0.6234481606
103	0.623009825
104	0.6228278222
105	0.62254835
106	0.622404633
107	0.6223334582
108	0.6220610789
109	0.6218732194
110	0.6217475822
111	0.6213944879
112	0.6212067573
113	0.62096983
114	0.6207709091
115	0.6205054742
116	0.6201524733
117	0.6200341923
118	0.6199512994
119	0.6195005898
120	0.619399876
121	0.6192480525
122	0.6192476906
123	0.6190540381
124	0.6188680563
125	0.618813506
126	0.6186672358
127	0.6184891281
128	0.6182935799
129	0.6180244099
130	0.6178812648
131	0.617593326
132	0.6172780625
133	0.6169681235
134	0.6168915549
135	0.616816712
136	0.6166024823
137	0.6159387859
138	0.6158893925
139	0.615781123
140	0.6156824815
141	0.6154098137
142	0.6154093109
143	0.6151984152
144	0.6151226054
145	0.6148495746
146	0.6147186934
147	0.6144948912
148	0.6143402169
149	0.6140539725
150	0.6138480572
151	0.6138036487
152	0.6137632024
153	0.6134225752
154	0.6129777858
155	0.6128968745
156	0.6128647558
157	0.6127110729
158	0.6124939325
159	0.612317416
160	0.6121931503
161	0.6119449146
162	0.6116161531
163	0.6115733649
164	0.6115471996
165	0.611394374
166	0.6113549611
167	0.6110580434
168	0.6107743481
169	0.6106662468
170	0.6105386527
171	0.6104166295
172	0.6102406795
173	0.6100797774
174	0.6100009979
175	0.6098032287
176	0.6093628649
177	0.6093086921
178	0.6090674
179	0.6089782052
180	0.6088936843
181	0.6088381152
182	0.6087544026
183	0.6085923356
184	0.608500647
185	0.6084464941
186	0.6080182922
187	0.6077589815
188	0.6076213549
189	0.6072971227
190	0.6071026609
191	0.6069014225
192	0.6067479579
193	0.6066891035
194	0.6066486014
195	0.6065311805
196	0.6065226613
197	0.6063596604
198	0.6062217092
199	0.6061228832
200	0.6060149999
201	0.6058977493
202	0.6057907626
203	0.6056460211
204	0.6055712631
205	0.6052886428
206	0.60528867
207	0.605056685
208	0.6049238049
209	0.6048059152
210	0.6046554162
211	0.6045395258
212	0.6043497856
213	0.6041267035
214	0.6040838746
215	0.6037299575
216	0.6036758182
217	0.6032408827
218	0.6029260331
219	0.6026781479
220	0.6024833468
221	0.6024143526
222	0.6023051885
223	0.6018159363
224	0.6015764956
225	0.6013992436
226	0.6011881593
227	0.6010096193
228	0.600819807
229	0.6007169034
230	0.6006008255
231	0.6005708699
232	0.6004510809
233	0.6004354143
234	0.6004046394
235	0.6002100758
236	0.5997738747
237	0.5994861076
238	0.5993341962
239	0.5991420275
240	0.5989221681
241	0.5988372361
242	0.5985421819
243	0.5984360193
244	0.5983206504
245	0.5980916225
246	0.5980775984
247	0.597832777
248	0.5976913684
249	0.5974477898
250	0.5971620379
251	0.5969140015
252	0.5964871532
253	0.5962768766
254	0.5959390186
255	0.5956423622
256	0.5954334569
257	0.5952680323
258	0.5950433649
259	0.5949477793
260	0.5945439964
261	0.5944880838
262	0.5942448454
263	0.5941671544
264	0.5939201636
265	0.59370795
266	0.5935577932
267	0.5934284205
268	0.5929720176
269	0.592899635
270	0.5926810389
271	0.5925970011
272	0.5925411994
273	0.5923257691
274	0.5922380373
275	0.5920335059
276	0.5918964112
277	0.5916491788
278	0.5916166159
279	0.5914542315
280	0.5913260735
281	0.5910744797
282	0.5908254211
283	0.5907685949
284	0.5904284487
285	0.5902184366
286	0.5899081007
287	0.5894294983
288	0.5892597937
289	0.589033184
290	0.5886911276
291	0.5884886854
292	0.5882134026
293	0.5878032922
294	0.5876396155
295	0.5874150029
296	0.5871994224
297	0.5869317881
298	0.5867280919
299	0.5864120396
300	0.5862415782
301	0.5860368119
302	0.5855483223
303	0.5851777421
304	0.5848633351
305	0.5847792283
306	0.5843412209
307	0.5838276894
308	0.5835498681
309	0.5832696304
310	0.5829990367
311	0.5822129461
312	0.5819048817
313	0.5813818559
314	0.5810127104
315	0.5806604003
316	0.580413695
317	0.5799866267
318	0.5797088782
319	0.5794537847
320	0.5792255014
321	0.5789859312
322	0.5785691437
323	0.5783559253
324	0.5778563217
325	0.5774931718
326	0.5771861688
327	0.5768703757
328	0.5764053575
329	0.5761838572
330	0.5758955907
331	0.5755778011
332	0.5752246262
333	0.5748443452
334	0.5742503166
335	0.574041486
336	0.5736463267
337	0.5732886273
338	0.572830799
339	0.5725825596
340	0.5723015047
341	0.5718288503
342	0.5714330631
343	0.5708255803
344	0.5703407976
345	0.5700508713
346	0.569652463
347	0.5693900595
348	0.569128861
349	0.5689113752
350	0.5687202419
351	0.5683823233
352	0.5679871042
353	0.5675959625
354	0.5671968307
355	0.5669462315
356	0.5666198536
357	0.5662706
358	0.5659337073
359	0.5656404829
360	0.5653400602
361	0.5651741858
362	0.56486962
363	0.5644536138
364	0.5641522468
365	0.5637723579
366	0.5634533796
367	0.5631402946
368	0.5628370497
369	0.5625284472
370	0.5621637205
371	0.5618618655
372	0.5616385587
373	0.5612897164
374	0.5608884087
375	0.5605096431
376	0.5601432179
377	0.5597574271
378	0.559302647
379	0.5589481143
380	0.5586237775
381	0.5584102107
382	0.5581650127
383	0.5578735988
384	0.5576061551
385	0.5573178559
386	0.5569698044
387	0.5566599968
