iter	Passed	Remaining
414	3335	4701
415	3347	4698
416	3356	4692
417	3364	4684
418	3374	4678
419	3384	4673
420	3391	4664
421	3399	4655
422	3406	4646
423	3414	4638
424	3421	4629
425	3428	4620
426	3440	4617
427	3448	4608
428	3456	4600
429	3463	4590
430	3470	4581
431	3476	4571
432	3483	4561
433	3489	4550
434	3496	4541
435	3506	4536
436	3515	4529
437	3523	4521
438	3532	4514
439	3539	4505
440	3546	4495
441	3553	4485
442	3560	4476
443	3568	4468
444	3575	4459
445	3582	4449
446	3588	4439
447	3595	4430
448	3602	4420
449	3610	4412
450	3617	4403
451	3624	4393
452	3635	4390
453	3642	4380
454	3650	4372
455	3657	4362
456	3664	4354
457	3671	4344
458	3679	4337
459	3686	4328
460	3699	4325
461	3706	4315
462	3714	4308
463	3721	4299
464	3727	4289
465	3733	4278
466	3740	4269
467	3747	4259
468	3756	4252
469	3762	4242
470	3768	4232
471	3774	4222
472	3781	4212
473	3787	4202
474	3793	4192
475	3799	4182
476	3807	4174
477	3814	4165
478	3820	4156
479	3827	4145
480	3833	4136
481	3840	4127
482	3848	4119
483	3854	4109
484	3861	4100
485	3868	4091
486	3875	4082
487	3887	4079
488	3894	4070
489	3901	4060
490	3907	4050
491	3914	4041
492	3920	4032
493	3930	4026
494	3937	4017
495	3943	4007
496	3954	4002
497	3964	3996
498	3970	3986
499	3978	3978
500	3985	3969
501	3991	3959
502	3998	3950
503	4004	3940
504	4012	3932
505	4018	3923
506	4024	3913
507	4032	3905
508	4037	3895
509	4044	3886
510	4051	3876
511	4057	3867
512	4064	3858
513	4073	3851
514	4080	3842
515	4086	3833
516	4092	3823
517	4099	3814
518	4106	3805
519	4112	3795
520	4118	3786
521	4125	3777
522	4131	3767
523	4140	3761
524	4146	3751
525	4153	3743
526	4162	3736
527	4169	3727
528	4197	3737
529	4204	3728
530	4211	3719
531	4220	3712
532	4232	3708
533	4239	3699
534	4244	3689
535	4250	3679
536	4258	3671
537	4265	3663
538	4272	3653
539	4278	3644
540	4284	3635
541	4290	3625
542	4297	3617
543	4304	3607
544	4313	3601
545	4320	3592
546	4328	3584
547	4335	3576
548	4343	3568
549	4350	3559
550	4359	3552
551	4365	3543
552	4372	3534
553	4378	3525
554	4385	3515
555	4392	3508
556	4399	3499
557	4406	3490
558	4412	3481
559	4419	3472
560	4426	3463
561	4433	3455
562	4439	3445
563	4445	3436
564	4452	3427
565	4459	3419
566	4466	3410
567	4472	3401
568	4478	3392
569	4485	3383
570	4491	3374
571	4497	3365
572	4504	3356
573	4510	3347
574	4517	3339
575	4524	3330
576	4531	3321
577	4538	3313
578	4544	3304
579	4551	3296
580	4558	3287
581	4564	3278
582	4571	3269
583	4578	3261
584	4586	3253
585	4592	3244
586	4599	3236
587	4606	3227
588	4613	3219
589	4619	3209
590	4626	3201
591	4633	3193
592	4639	3184
593	4645	3175
594	4651	3166
595	4658	3157
596	4664	3148
597	4670	3139
598	4677	3131
599	4683	3122
600	4690	3113
601	4696	3105
602	4702	3096
603	4709	3087
604	4716	3079
605	4722	3070
606	4729	3062
607	4737	3054
608	4743	3045
609	4749	3036
610	4756	3028
611	4763	3019
612	4773	3013
613	4781	3005
614	4787	2997
615	4794	2988
616	4800	2979
617	4807	2971
618	4813	2962
619	4821	2955
620	4827	2946
621	4838	2940
622	4844	2931
623	4852	2923
624	4858	2914
625	4864	2906
626	4872	2898
627	4880	2890
628	4886	2882
629	4893	2873
630	4899	2865
631	4906	2857
632	4912	2848
633	4920	2840
634	4927	2832
635	4934	2823
636	4940	2815
637	4946	2806
638	4953	2798
639	4959	2789
640	4966	2781
641	4973	2773
642	4980	2764
643	4986	2756
644	4992	2747
645	4999	2739
646	5005	2730
647	5011	2722
648	5019	2714
649	5025	2706
650	5034	2698
651	5040	2690
652	5047	2682
653	5056	2675
654	5064	2667
655	5071	2659
656	5078	2651
657	5084	2642
658	5091	2634
659	5098	2626
660	5105	2618
661	5111	2609
662	5119	2602
663	5129	2595
664	5139	2589
665	5150	2582
666	5158	2575
667	5165	2567
668	5173	2559
669	5180	2551
670	5188	2543
671	5194	2535
672	5200	2527
673	5207	2518
674	5217	2512
675	5224	2504
676	5231	2495
677	5238	2487
678	5244	2479
679	5250	2470
680	5257	2462
681	5264	2454
682	5272	2447
683	5280	2439
684	5287	2431
685	5294	2423
686	5301	2415
687	5308	2407
688	5316	2399
689	5323	2391
690	5337	2386
691	5348	2380
692	5354	2372
693	5361	2363
694	5367	2355
695	5373	2347
696	5380	2338
697	5387	2331
698	5395	2323
699	5405	2316
700	5414	2309
701	5420	2301
702	5427	2293
703	5435	2285
704	5441	2277
705	5448	2269
706	5455	2260
707	5461	2252
